tweet,processed_tweet,label,semantic_category
@springsingfiend @dvyers @sethdaggett @jlshack AT&amp;T dropped the ball and isn't supporting crap with the new iPhone 3.0... FAIL #att SUCKS!!!,drop ball not support crap new iphon fail att suck,neg,mobile devices
"@MMBarnhill yay, glad you got the phone! Still, damn you, AT&amp;T.",yay glad got phone still damn,neg,mobile devices
Google Wave Developer Sandbox Account Request http://bit.ly/2NYlc,googl wave develop sandbox account request,neutral,unlabeled
"Talk is Cheap: Bing that, I?ll stick with Google. http://bit.ly/XC3C8",talk cheap bing stick googl,neg,unlabeled
"@defsounds WTF is the point of deleting tweets if they can still be found in summize and searches? Twitter, please fix that. Thanks and bye",wtf point delet tweet still found summiz search twitter pleas fix thank bye,neg,Twitter
@mattcutts have google profiles stopped showing up in searches? cant see them anymore,googl profil stop show search not see anymor,neutral,unlabeled
@ArunBasilLal I love Google Translator too ! :D Good day mate !,love googl translat :d good day mate,pos,unlabeled
reading on my new Kindle2!,read new kindl,pos,books
My Kindle2 came and I LOVE it! :),kindl came love :),pos,books
"LOVING my new Kindle2.  Named her Kendra in case u were wondering. The ""cookbook"" is THE tool cuz it tells u all the tricks!  Best gift EVR!",love new kindl name kendra case wonder cookbook tool cuz tell trick best gift evr,pos,books
The real AIG scandal / http://bit.ly/b82Px,real aig scandal,neg,unlabeled
Any twitter to aprs apps yet?,twitter apr app yet,neutral,Twitter
45 Pros You Should Be Following on Twitter - http://is.gd/sMbZ,pro follow twitter,neutral,Twitter
Obama is quite a good comedian! check out his dinner speech on CNN :) very funny jokes.,obama quit good comedian check dinner speech cnn :) funni joke,pos,politics
"' Barack Obama shows his funny side "" &gt;&gt; http://tr.im/l0gY !! Great speech..",barack obama show funni side great speech,pos,politics
"I like this guy : ' Barack Obama shows his funny side "" &gt;&gt; http://tr.im/l0gY !!",like guy barack obama show funni side,pos,politics
Obama's speech was pretty awesome last night! http://bit.ly/IMXUM,obama speech pretti awesom last_night,pos,politics
"Reading  ""Bill Clinton Fail - Obama Win?"" http://tinyurl.com/pcyxj7",read bill clinton fail obama win,pos,politics
Obama More Popular Than U.S. Among Arabs: Survey: President Barack Obama's popularity in leading Arab countries .. http://tinyurl.com/prlvqu,obama popular among arab survey presid barack obama popular lead arab countri,pos,politics
Obama's got JOKES!! haha just got to watch a bit of his after dinner speech from last night... i'm in love with mr. president ;),obama got joke haha got watch bit dinner speech last_night love mr presid ;),pos,politics
LEbron james got in a car accident i guess..just heard it on evening news...wow i cant believe it..will he be ok ? http://twtad.com/69750,lebron jame got car accid guessjust heard even newswow not believ itwil ok,neg,sports
is it me or is this the best the playoffs have been in years oh yea lebron and melo in the finals,best playoff year oh yea lebron melo final,pos,sports
"@khalid0456 No, Lebron is the best",no lebron best,pos,sports
@the_real_usher LeBron is cool.  I like his personality...he has good character.,lebron cool like personalityh good charact,pos,sports
Watching Lebron highlights. Damn that niggas good,watch lebron highlight damn nigga good,pos,sports
@Lou911 Lebron is MURDERING shit.,lebron murder shit,pos,sports
@uscsports21 LeBron is a monsta and he is only 24. SMH The world ain't ready.,lebron monsta smh world not readi,pos,sports
@cthagod when Lebron is done in the NBA he will probably be greater than Kobe. Like u said Kobe is good but there alot of 'good' players.,lebron done nba probabl greater kobe like said kobe good alot good player,pos,sports
KOBE IS GOOD BT LEBRON HAS MY VOTE,kobe good bt lebron vote,pos,sports
Kobe is the best in the world not lebron .,kobe best world not lebron,neg,sports
"@asherroth World Cup 2010 Access?? Damn, that's a good look!",world cup access damn good look,pos,unlabeled
Just bought my tickets for the 2010 FIFA World Cup in South Africa. Its going to be a great summer. http://bit.ly/9GEZI,bought ticket fifa world cup south africa go great summer,pos,sports
Share: Disruption...Fred Wilson's slides for his talk at Google HQ  http://bit.ly/Bo8PG,share disruptionfr wilson slide talk googl hq,neutral,unlabeled
I have to go to Booz Allen Hamilton for a 2hr meeting :(  But then i get to go home :),go booz allen hamilton hr meet :( get go home :),neg,unlabeled
"The great Indian tamasha truly will unfold from May 16, the result day for Indian General Election.",great indian tamasha truli unfold may result day indian gener elect,pos,unlabeled
"@crlane I have the Kindle2. I've seen pictures of the DX, but haven't seen it in person. I love my Kindle - I'm on it everyday.",kindl seen pictur dx not seen person love kindl everyday,pos,books
@criticalpath Such an awesome idea - the  continual learning program with a Kindle2  http://bit.ly/1ZLfF,awesom idea continu learn program kindl,pos,books
ok.. do nothing.. just thinking about 40D,ok noth think,neutral,unlabeled
"@faithbabywear Ooooh, what model are you getting??? I have the 40D and LOVE LOVE LOVE LOVE it!",oooh model get love love love love,pos,unlabeled
The Times of India: The wonder that is India's election. http://bit.ly/p7u1H,time india wonder india elect,pos,politics
http://is.gd/ArUJ Good video from Google on using search options.,good video googl use search option,pos,unlabeled
@ambcharlesfield lol. Ah my skin is itchy :( damn lawnmowing.,lol ah skin itchi :( damn lawnmow,neg,unlabeled
itchy back!! dont ya hate it!,itchi back not ya hate,neg,unlabeled
Stanford Charity Fashion Show a top draw http://cli.gs/NeNuAH,stanford chariti fashion show top draw,pos,unlabeled
Stanford University?s Facebook Profile is One of the Most Popular Official University Pages - http://tinyurl.com/p5b3fl,stanford univers facebook profil one popular offici univers page,pos,unlabeled
Lyx is cool.,lyx cool,pos,unlabeled
SOOO DISSAPOiNTED THEY SENT DANNY GOKEY HOME... YOU STiLL ROCK ...DANNY ... MY HOMETOWN HERO !! YEAH MiLROCKEE!!,sooo dissapoint sent danni_gokey home still rock danni hometown hero yeah milrocke,pos,unlabeled
"RT @PassionModel 'American Idol' fashion: Adam Lambert tones down, Danny Gokey cute ... http://cli.gs/7JWSHV",american idol fashion adam lambert tone danni_gokey cute,pos,unlabeled
@dannygokey I love you DANNY GOKEY!! :),love danni_gokey :),pos,unlabeled
RT @justindavey: RT @tweetmeme GM OnStar now instantly sends accident location coordinates to 911 | GPS Obsessed http://bit.ly/16szL1,gm onstar instantli send accid locat coordin gp obsess,neutral,car industry
so tired. i didn't sleep well at all last night.,tire not sleep well last_night,neg,unlabeled
Boarding plane for San Francisco in 1 hour; 6 hr flight. Blech.,board plane san_francisco hour hr flight blech,neg,cities
bonjour San Francisco. My back hurts from last night..,bonjour san_francisco back hurt last_night,neg,cities
"breakers. in San Francisco, CA http://loopt.us/4v88Bw.t",breaker san_francisco ca,neutral,cities
Heading to San Francisco,head san_francisco,neutral,cities
With my best girl for a few more hours in San francisco. Mmmmmfamily is wonderful!,best girl hour san_francisco mmmfamili wonder,pos,cities
"F*** up big, or go home - AIG",big go home aig,neg,unlabeled
Went to see the Star Trek movie last night.  Very satisfying.,went see_star trek movi last_night satisfi,pos,movies
"I can't wait, going to see star trek tonight!!",not wait go_see star_trek tonight,pos,movies
Star Trek was as good as everyone said!!,star_trek good everyon said,pos,movies
am loving new malcolm gladwell book - outliers,love new malcolm_gladwel book outlier,pos,books
I highly recommend Malcolm Gladwell's 'The Tipping Point.' My next audiobook will probably be one of his as well.,highli recommend malcolm gladwell tip point next audiobook probabl one well,pos,unlabeled
Malcolm Gladwell is a genius at tricking people into not realizing he's a fucking idiot,malcolm_gladwel geniu trick peopl not realiz fuck idiot,neg,books
"@sportsguy33 hey no offense but malcolm gladwell is a pretenious, annoying cunt and he brings you down. cant read his shit",hey no offens malcolm_gladwel preteni annoy cunt bring not read shit,neg,books
RT @clashmore: http://bit.ly/SOYv7  Great article by Malcolm Gladwell.,great articl malcolm_gladwel,pos,books
I seriously underestimated Malcolm Gladwell.  I want to meet this dude.,serious underestim malcolm_gladwel want meet dude,pos,books
i hate comcast right now. everything is down cable internet &amp; phone....ughh what am i to do,hate comcast right everyth cabl internet phoneughh,neg,cable TV
Comcast sucks.,comcast suck,neg,cable TV
The day I never have to deal with Comcast again will rank as one of the best days of my life.,day never deal comcast rank one best day life,neg,cable TV
@Dommm did comcast fail again??,comcast fail,neg,cable TV
How do you use the twitter API?... http://bit.ly/4VBhH,use twitter_api,neutral,Twitter
curses the Twitter API limit,curs twitter_api limit,neg,Twitter
"Now I can see why Dave Winer screams about lack of Twitter API, its limitations and access throttles!",see dave winer scream lack twitter_api limit access throttl,neg,Twitter
testing Twitter API,test twitter_api,neutral,Twitter
Arg. Twitter API is making me crazy.,arg twitter_api make crazi,neg,Twitter
Testing Twitter API. Remote Update,test twitter_api remot updat,neutral,Twitter
I'm really loving the new search site Wolfram/Alpha. Makes Google seem so ... quaint. http://www72.wolframalpha.com/,realli love new search site wolfram alpha make googl seem quaint,pos,IT
"#wolfram Alpha SUCKS! Even for researchers the information provided is less than you can get from #google or #wikipedia, totally useless!",wolfram alpha suck even research inform provid less get googl wikipedia total useless,neg,IT
Off to the NIKE factory!!!,nike factori,pos,Nike
New nike muppet commercials are pretty cute. Why do we live together again?,new nike muppet commerci pretti cute live togeth,pos,Nike
New blog post: Nike Zoom LeBron Soldier 3 (III) - White / Black - Teal http://bit.ly/rouUS,new_blog post nike zoom lebron soldier iii white black teal,neutral,blogging
New blog post: Nike Trainer 1 http://bit.ly/394bp,new_blog post nike trainer,neutral,blogging
@Fraggle312 oh those are awesome! i so wish they weren't owned by nike :(,oh awesom wish not own nike :(,neg,Nike
@tonyhawk http://twitpic.com/5c7uj - AWESOME!!! Seeing the show Friday at the Shoreline Amphitheatre. Never seen NIN before. Can't wait. ...,awesom see show friday shorelin amphitheatr never seen nin not wait,pos,unlabeled
"arhh, It's weka bug. = ="" and I spent almost two hours to find that out. crappy me",arhh weka bug spent almost two hour find crappi,neg,unlabeled
"@mitzs hey bud :) np I do so love my 50D, although I'd love a 5D mkII more",hey bud :) np love although would love mkii,pos,unlabeled
@jonduenas @robynlyn just got us a 50D for the office. :D,got us offic :d,pos,politics
Just picked up my new Canon 50D...it's beautiful!!  Prepare for some seriously awesome photography!,pick new canon dit beauti prepar serious awesom photographi,pos,DSLR cameras
Just got my new toy. Canon 50D. Love love love it!,got new toy canon love love love,pos,DSLR cameras
Learning about lambda calculus :),learn lambda calculu :),pos,IT
"#jobs #sittercity Help with taking care of sick child (East Palo Alto, CA) http://tinyurl.com/qwrr2m",job sitterc help take care sick child east_palo alto ca,neutral,cities
I'm moving to East Palo Alto!,move east_palo alto,pos,cities
@ atebits I just finished watching your Stanford iPhone Class session. I really appreciate it. You Rock!,atebit finish watch stanford iphon class session realli appreci rock,pos,mobile devices
@jktweet Hi! Just saw your Stanford talk and really liked your advice. Just saying Hi from Singapore (yes the videos do get around),hi saw stanford talk realli like advic say hi singapor ye video get around,pos,unlabeled
#MBA Admissions Tips Stanford GSB Deadlines and Essay Topics 2009-2010 http://tinyurl.com/pet4fd,mba admiss tip stanford gsb deadlin essay topic,neutral,unlabeled
Ethics and nonprofits - http://bit.ly/qsXRp  #stanford #socialentrepreneurship,ethic nonprofit stanford socialentrepreneurship,neutral,unlabeled
LAKERS tonight let's go!!!!,laker tonight let us go,pos,politics
Will the Lakers kick the Nuggets ass tonight?,laker kick nugget ass tonight,pos,sports
Oooooooh... North Korea is in troubleeeee! http://bit.ly/19epAH,oooh north_korea troublee,neg,politics
Wat the heck is North Korea doing!!??!! They just conducted powerful nuclear tests! Follow the link: http://www.msnbc.msn.com/id/30921379,wat heck north_korea conduct power nuclear test follow link,neg,politics
Listening to Obama... Friggin North Korea...,listen obama friggin north_korea,neg,politics
"I just realized we three monkeys in the white Obama.Biden,Pelosi . Sarah Palin 2012",realiz three monkey white obama.biden pelosi sarah palin,neg,politics
@foxnews Pelosi should stay in China and never come back.,pelosi stay china never come back,neg,politics
Nancy Pelosi gave the worst commencement speech I've ever heard. Yes I'm still bitter about this,nanci pelosi gave worst commenc speech ever heard ye still bitter,neg,politics
ugh. the amount of times these stupid insects have bitten me. Grr..,ugh amount time stupid insect bitten grr,neg,unlabeled
Prettiest insects EVER - Pink Katydids: http://bit.ly/2Upw2p,prettiest insect ever pink katydid,pos,unlabeled
Just got barraged by a horde of insects hungry for my kitchen light. So scary.,got barrag hord insect hungri kitchen light scari,neg,unlabeled
Just had McDonalds for dinner. :D It was goooood. Big Mac Meal. ;),mcdonald dinner :d goood big mac meal ;),pos,food
AHH YES LOL IMA TELL MY HUBBY TO GO GET ME SUM MCDONALDS =],ahh ye lol tell hubbi go get sum mcdonald =],pos,food
Stopped to have lunch at McDonalds. Chicken Nuggetssss! :) yummmmmy.,stop lunch mcdonald chicken nuggetsss :) yummmi,pos,food
Could go for a lot of McDonalds. i mean A LOT.,could go lot mcdonald mean lot,pos,food
my exam went good. @HelloLeonie: your prayers worked (:,exam went good prayer work (:,pos,unlabeled
"Only one exam left, and i am so happy for it :D",one exam left happi :d,pos,unlabeled
Math review. Im going to fail the exam.,math review go fail exam,neg,unlabeled
Colin Powell rocked yesterday on CBS. Cheney needs to shut the hell up and go home.Powell is a man of Honor and served our country proudly,colin powel rock yesterday cb cheney need shut hell go home.powel man honor serv countri proudli,neg,unlabeled
obviously not siding with Cheney here: http://bit.ly/19j2d,obvious not side cheney,neg,unlabeled
Absolutely hilarious!!! from @mashable:  http://bit.ly/bccWt,absolut hilari,pos,unlabeled
@mashable I never did thank you for including me in your Top 100 Twitter Authors! You Rock! (&amp; I New Wave :-D) http://bit.ly/EOrFV,never thank includ top twitter author rock new wave :-d,pos,Twitter
Learning jQuery 1.3 Book Review - http://cfbloggers.org/?c=30629,learn jqueri book review,neutral,books
RT @shrop: Awesome JQuery reference book for Coda! http://www.macpeeps.com/coda/ #webdesign,awesom jqueri refer book coda webdesign,pos,books
I've been sending e-mails like crazy today to my contacts...does anyone have a contact at Goodby SIlverstein...I'd love to speak to them,send e-mail like crazi today contactsdo anyon contact goodbi silversteini'd love speak,pos,unlabeled
Adobe CS4 commercial by Goodby Silverstein: http://bit.ly/1aikhF,adob cs commerci goodbi_silverstein,neutral,unlabeled
"Goodby, Silverstein's new site... http://www.goodbysilverstein.com/ I enjoy it.",goodbi_silverstein new site enjoy,pos,unlabeled
Wow everyone at the Google I/O conference got free G2's with a month of unlimited service,wow everyon googl confer got free g month unlimit servic,pos,unlabeled
@vkerkez dood I got a free google android phone at the I/O conference. The G2!,dood got free googl android phone confer,pos,mobile devices
"@Orli the G2 is amazing btw, a HUGE improvement over the G1",amaz btw huge improv,pos,unlabeled
"HTML 5 Demos! Lots of great stuff to come! Yes, I'm excited. :) http://htmlfive.appspot.com #io2009 #googleio",html demo lot great stuff come ye excit :) io googleio,pos,unlabeled
@googleio http://twitpic.com/62shi - Yay! Happy place! Place place!  I love Google!,yay happi place place place love googl,pos,unlabeled
#GoogleIO | O3D - Bringing 3d graphics to the browser. Very nice tbh. Funfun.,googleio od bring graphic browser nice tbh funfun,pos,unlabeled
"Awesome viral marketing for ""Funny People"" http://www.nbc.com/yo-teach/",awesom viral_market funni peopl,pos,unlabeled
"Watching a programme about the life of Hitler, its only enhancing my geekiness of history.",watch programm life hitler enhanc geeki histori,neutral,unlabeled
saw night at the museum out of sheer desperation. who is funding these movies?,saw night_museum sheer desper fund movi,neg,movies
Night At The Museum 2? Pretty furkin good.,night_museum pretti furkin good,pos,movies
Watching Night at the Museum - giggling.,watch_night museum giggl,pos,movies
"@pambeeslyjenna Jenna, I went to see Night At The Museum 2 today and I was so surprised to see three cast members from The Office...",jenna went see_night museum today surpris see three cast member offic,neutral,movies
About to watch Night at the Museum with Ryan and Stacy,watch_night museum ryan staci,neutral,movies
"Getting ready to go watch Night at the Museum 2.  Dum dum, you give me gum gum!",get readi go watch_night museum dum dum give gum gum,neutral,movies
"Back from seeing 'Star Trek' and 'Night at the Museum.' 'Star Trek' was amazing, but 'Night at the Museum' was; eh.",back see_star trek night_museum star_trek amaz night_museum eh,neg,movies
just watched night at the museum 2! so stinkin cute!,watch_night museum stinkin cute,pos,movies
"So, Night at the Museum 2 was AWESOME! Much better than part 1. Next weekend we'll see Up.",night_museum awesom much better part next weekend see,pos,movies
"I think I may have a new favorite restaurant. On our way to see ""Night at the Museum 2"".",think may new favorit restaur way see_night museum,neutral,movies
"UP! was sold out, so i'm seeing Night At The Museum 2. I'm __ years old.",sold see_night museum year old,neutral,movies
saw the new Night at the Museum and i loved it. Next is to go see UP in 3D,saw new night_museum love next go_see,pos,movies
It is a shame about GM. What if they are forced to make only cars the White House THINKS will sell? What do you think?,shame gm forc make car white hous think sell think,neg,car industry
"As u may have noticed, not too happy about the GM situation, nor AIG, Lehman, et al",may notic not happi gm situat nor aig lehman et al,neg,car industry
Obama: Nationalization of GM to be short-term   (AP) http://tinyurl.com/md347r,obama nation gm short-term ap,neutral,politics
@Pittstock $GM good riddance.  sad though.,gm good riddanc sad though,neg,car industry
"I Will NEVER Buy a Government Motors Vehicle: Until just recently, I drove GM cars. Since 1988, when I bought a .. http://tinyurl.com/lulsw8",never buy govern motor vehicl recent drove gm car sinc bought,neg,car industry
Having the old Coca-Cola guy on the GM board is stupid has heck! #tcot #ala,old coca-cola guy gm board stupid heck tcot ala,neg,car industry
#RantsAndRaves The worst thing about GM (concord / pleasant hill / martinez): is the fucking UAW. ..   http://buzzup.com/4ueb,rantsandrav worst thing gm concord pleasant hill martinez ): fuck uaw,neg,car industry
"Give a man a fish, u feed him for the day. Teach him to fish, u feed him for life. Buy him GM, and u F**K him over for good.",give man fish feed day teach fish feed life buy gm good,neg,car industry
"The more I hear about this GM thing the more angry I get. Billions wasted, more bullshit. All for something like 40k employees and all the..",hear gm thing angri get billion wast bullshit someth like employe,neg,car industry
@QuantTrader i own a GM car and it is junk as far as quality compared to a honda,gm car junk far qualiti compar honda,neg,car industry
sad day...bankrupt GM,sad daybankrupt gm,neg,car industry
is upset about the whole GM thing. life as i know it is so screwed up,upset whole gm thing life know screw,neg,car industry
whoever is running time warner needs to be repeatedly raped by a rhino so they understand the consequences of putting out shitty cable svcs,whoever run time_warner need repeatedli rape rhino understand consequ put shitti cabl svc,neg,cable TV
"Time Warner CEO hints at online fees for magazines      (AP) - Read from Mountain View,United States. Views 16209 http://bit.ly/UdFCH",time_warner ceo hint onlin fee magazin ap read mountain view unit state view,neutral,cable TV
#WFTB Joining a bit late. My connection was down (boo time warner),wftb join bit late connect boo time_warner,neg,cable TV
Cox or Time Warner?  Cox is cheaper and gets a B on dslreports.  TW is more expensive and gets a C.,cox time_warner cox cheaper get dslreport tw expens get,neg,cable TV
i am furious with time warner and their phone promotions!,furiou time_warner phone promot,neg,mobile devices
Just got home from chick-fil-a with the boys. Damn my internets down =( stupid time warner,got home chick-fil-a boy damn internet =( stupid time_warner,neg,cable TV
could time-warner cable suck more?  NO.,could time-warn cabl suck no,neg,cable TV
Pissed at Time Warner for causin me to have slow internet problems,piss time_warner causin slow internet problem,neg,cable TV
"@sportsguy33 Ummm, having some Time Warner problems?",ummm time_warner problem,neg,cable TV
You guys see this?  Why does Time Warner have to suck so much ass?  Really wish I could get U-Verse at my apartment. http://bit.ly/s594j,guy see time_warner suck much ass realli wish could get you-vers apart,neg,cable TV
"RT @sportsguy33 The upside to Time Warner: unhelpful phone operators   superslow on-site service. Crap, that's not an upside.",upsid time_warner unhelp phone oper superslow on-sit servic crap not upsid,neg,mobile devices
"RT @sportsguy33: New Time Warner slogan: ""Time Warner, where we make you long for the days before cable.""",new time_warner slogan time_warner make long day cabl,neg,cable TV
"confirmed: it's Time Warner's fault, not Facebook's, that fb is taking about 3 minutes to load. so tempted to switch to verizon =/",confirm time_warner fault not facebook fb take minut load tempt switch verizon =/,neg,cable TV
@sportsguy33 Time Warner = epic fail,time_warner epic fail,neg,cable TV
Lawson to head Newedge Hong Kong http://bit.ly/xLQSD #business #china,lawson head newedg hong kong busi china,neutral,politics
Weird Piano Guitar House in China! http://u2s.me/72i8,weird piano guitar hous china,neutral,politics
Send us your GM/Chevy photos http://tinyurl.com/luzkpq,send us gm chevi photo,neutral,politics
I know. How sad is that?  RT @caseymercier: 1st day of hurricane season. That's less scarey than govt taking over GM.,know sad st day hurrican season less scarey govt take gm,neg,car industry
"GM files Bankruptcy, not a good sign...",gm file bankruptci not good sign,neg,car industry
yankees won mets lost. its a good day.,yanke met lost good day,pos,sports
My dentist appt today was actually quite enjoyable.,dentist appt today actual quit enjoy,pos,dentist
I hate the effing dentist.,hate ef dentist,neg,dentist
@stevemoakler i had a dentist appt this morning and had the same conversation!,dentist appt morn convers,neutral,dentist
@kirstiealley I hate going to the dentist.. !!!,hate go dentist,neg,dentist
i hate the dentist....who invented them anyways?,hate dentistwho invent anyway,neg,unlabeled
this dentist's office is cold :/,dentist offic cold :/,neg,dentist
Check this video out -- David After Dentist http://bit.ly/47aW2,check video david dentist,neutral,dentist
First dentist appointment [in years] on Wednesday possibly.,first dentist appoint year wednesday possibl,neutral,dentist
Tom Shanahan's latest column on SDSU and its NCAA Baseball Regional appearance: http://ow.ly/axhu,tom shanahan latest column sdsu ncaa basebal region appear,neutral,sports
BaseballAmerica.com: Blog: Baseball America Prospects Blog ? Blog ... http://bit.ly/EtT8a,baseballamerica.com blog basebal america prospect blog blog,neutral,blogging
Portland city politics may undo baseball park http://tinyurl.com/lpjquj,portland citi polit may undo basebal park,neutral,sports
"RT @WaterSISWEB: CA Merced's water bottled by Safeway, resold at a profit: Wells are drying up across the county http://tinyurl.com/mb573s",ca merced water bottl safeway resold profit well dri across counti,neutral,food
dropped her broccoli walking home from safeway! ;( so depressed,drop broccoli walk home safeway ;( depress,neutral,food
@ronjon we don't have Safeway.,not safeway,neutral,food
Just applied at Safeway!(: Yeeeee!,appli safeway (: yeee,pos,food
@ Safeway. Place is a nightmare right now. Bumming.,safeway place nightmar right bum,neg,food
at safeway with dad,safeway dad,neutral,food
"HATE safeway select green tea icecream! bought two cartons, what a waste of money.  &gt;_&lt;",hate safeway select green tea icecream bought two carton wast money,neg,food
"Safeway with Marvin, Janelle, and Auntie Lhu",safeway marvin janel aunti lhu,neutral,food
Safeway offering mobile coupons http://bit.ly/ONH7w,safeway offer mobil coupon,neutral,food
"Phillies Driving in the Cadillac with the Top Down in Cali, Win 5-3 - http://tinyurl.com/nzcjqa",philli drive cadillac top cali win,neutral,unlabeled
Saved money by opting for grocery store trip and stocking food in hotel room fridge vs. eating out every night while out of town.,save money opt groceri store trip stock food hotel room fridg vs eat everi night town,neutral,food
"Lounging around, eating Taco Bell and watching NCIS before work tonight. Need help staying awake.",loung around eat taco bell watch nci work tonight need help stay awak,neutral,food
eating breakfast and then school,eat breakfast school,neutral,food
still hungry after eating....,still hungri eat,neutral,food
10 tips for healthy eating ? ResultsBy Fitness Blog :: Fitness ... http://bit.ly/62gFn,tip healthi eat resultsbi fit blog :: fit,neutral,blogging
"with the boyfriend, eating a quesadilla",boyfriend eat quesadilla,neutral,food
"Eating dinner. Meat, chips, and risotto.",eat dinner meat chip risotto,neutral,food
got a new pair of nike shoes. pics up later,got new pair nike shoe pic later,neutral,Nike
"Nike SB Blazer High ""ACG"" Custom - Brad Douglas - http://timesurl.at/45a448",nike sb blazer high acg custom brad dougla,neutral,Nike
Nike rocks. I'm super grateful for what I've done with them :) &amp; the European Division of NIKE is BEYOND! @whitSTYLES @muchasmuertes,nike rock super grate done :) european divis nike beyond,pos,Nike
Nike Air Yeezy Khaki/Pink Colorway Release - http://shar.es/bjfN,nike air yeezi khaki pink colorway releas,neutral,Nike
@evelynbyrne have you tried Nike  ? V. addictive.,tri nike addict,pos,Nike
@erickoston That looks an awful lot like one of Nike's private jets....I'm just sayin....,look aw lot like one nike privat jetsi'm sayin,neutral,Nike
The Nike Training Club (beta) iPhone app looks very interesting.,nike train club beta iphon app look interest,pos,mobile devices
argghhhh why won't  my jquery appear in safari bad safari !!!,argghhh not jqueri appear safari bad safari,neg,IT
DevSnippets : jQuery Tools - Javascript UI Components for the Web... http://inblogs.org/go/hfuqt,devsnippet jqueri tool javascript ui compon web,neutral,IT
"all about Ajax,jquery ,css ,JavaScript and more... (many examples) http://ajaxian.com/",ajax jqueri css javascript mani exampl,neutral,IT
"I'm ready to drop the pretenses, I am forever in love with jQuery, and I want to marry it. Sorry ladies, this nerd is jquery.spokenFor.js",readi drop pretens forev love jqueri want marri sorri ladi nerd jquery.spokenfor.j,pos,IT
"This is cold.. I was looking at google's chart//visualization API and found this jQuery ""wrapper"" for the API...  http://tinyurl.com/mq52bq",cold look google chart visual api found jqueri wrapper api,neutral,IT
I spent most of my day reading a jQuery book. Now to start drinking some delirium tremens.,spent day read jqueri book start drink delirium tremen,neutral,books
jquery Selectors http://codylindley.com/jqueryselectors/,jqueri selector,neutral,IT
How to implement a news ticker with jQuery and ten lines of code http://bit.ly/CZnFJ,implement news ticker jqueri ten line code,neutral,IT
What's Buffet Doing? Warren Buffett Kicks Butt In Battle of the Boots: Posted By:Alex Crippe.. http://bit.ly/AUIzO,buffet warren buffett kick butt battl boot post alex cripp,neutral,Warren Buffett
"SUPER INVESTORS: A great weekend read here from Warren Buffet. Oldie, but a goodie. http://tinyurl.com/oqxgga",super investor great weekend read warren_buffet oldi goodi,pos,Warren Buffett
I'm truly braindead.  I couldn't come up with Warren Buffet's name to save my soul,truli braindead could not come warren_buffet name save soul,neutral,Warren Buffett
"reading Michael Palin book, The Python Years...great book. I also recommend Warren Buffet &amp; Nelson Mandela's bio",read michael palin book python yearsgreat book also recommend warren_buffet nelson mandela bio,pos,Warren Buffett
"I mean, I'm down with Notre Dame if I have to.  It's a good school, I'd be closer to Dan, I'd enjoy it.",mean notr dame good school would closer dan would enjoy,pos,unlabeled
"I can't watch TV without a Tivo.  And after all these years, the Time/Warner DVR  STILL sucks. http://www.davehitt.com/march03/twdvr.html",not watch tv without tivo year time_warner dvr still suck,neg,cable TV
I'd say some sports writers are idiots for saying Roger Federer is one of the best ever in Tennis.  Roger Federer is THE best ever in Tennis,would say sport writer idiot say roger feder one best ever tenni roger feder best ever tenni,pos,sports
I still love my Kindle2 but reading The New York Times on it does not feel natural. I miss the Bloomingdale ads.,still love kindl read new york time not feel natur miss bloomingdal ad,neg,books
I love my Kindle2. No more stacks of books to trip over on the way to the loo.,love kindl no stack book trip way loo,pos,books
"Although today's keynote rocked, for every great announcement, AT&amp;T shit on us just a little bit more.",although today keynot rock everi great announc shit us littl bit,neg,politics
"@sheridanmarfil - its not so much my obsession with cell phones, but the iphone!  i'm a slave to at&amp;t forever because of it. :)",not much obsess cell phone iphon slave forev :),neg,mobile devices
@freitasm oh I see. I thought AT&amp;T were 900MHz WCDMA?,oh see thought mhz wcdma,neutral,unlabeled
@Plip Where did you read about tethering support Phil?  Just AT&amp;T or will O2 be joining in?,read tether support phil join,neutral,mobile devices
Fuzzball is more fun than AT&amp;T ;P http://fuzz-ball.com/twitter,fuzzbal fun ;p,neg,unlabeled
"Today is a good day to dislike AT&amp;T. Vote out of office indeed, @danielpunkass",today good day dislik vote offic inde,neg,unlabeled
GOT MY WAVE SANDBOX INVITE! Extra excited! Too bad I have class now... but I'll play with it soon enough! #io2009 #wave,got wave sandbox invit extra excit bad class play soon enough io wave,pos,unlabeled
looks like summize has gone down. too many tweets from WWDC perhaps?,look like summiz gone mani tweet wwdc perhap,neg,Twitter
I hope the girl at work  buys my Kindle2,hope girl work buy kindl,neutral,books
Missed this insight-filled May column: One smart guy looking closely at why he's impressed with Kindle2 http://bit.ly/i0peY @wroush,miss insight-fil may column one smart guy look close impress kindl,neutral,books
"@sklososky Thanks so much!!! ...from one of your *very* happy Kindle2 winners ; ) I was so surprised, fabulous. Thank you! Best, Kathleen",thank much one happi kindl winner surpris fabul thank best kathleen,pos,books
Man I kinda dislike Apple right now. Case in point: the iPhone 3GS. Wish there was a video recorder app. Please?? http://bit.ly/DZm1T,man kind dislik appl right case point iphon gs wish video record app pleas,neg,mobile devices
@cwong08 I have a Kindle2 (&amp; Sony PRS-500). Like it! Physical device feels good. Font is nice. Pg turns are snappy enuf. UI a little klunky.,kindl soni pr like physic devic feel good font nice pg turn snappi enuf ui littl klunki,pos,books
